epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr
1,4.461869,0.385820,2.855336,0.684720,0.778720,0.00003000
2,3.001075,0.602505,2.597833,0.710680,0.790720,0.00030000
3,2.874876,0.622270,2.571244,0.713680,0.792080,0.00028519
4,2.817210,0.630320,2.547703,0.715160,0.794600,0.00024371
5,2.742793,0.640585,2.531489,0.720040,0.795960,0.00018377
