epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr
1,2.795427,0.641265,2.762810,0.679438,0.779880,0.00010000
2,2.491924,0.717269,2.650481,0.700763,0.791486,0.00028000
3,2.472519,0.719287,2.630844,0.704578,0.789960,0.00046000
4,2.584512,0.703820,2.781480,0.675663,0.772892,0.00064000
5,2.776045,0.677068,2.781804,0.680964,0.772731,0.00082000
6,2.856584,0.664935,3.094629,0.674739,0.767349,0.00100000
