epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,5.213065,0.151190,4.458289,0.237240,0.432080,0.193895,0.00010000
2,4.374343,0.244195,4.396510,0.270600,0.465680,0.246024,0.00055000
3,4.423744,0.233905,4.472636,0.257360,0.448080,0.229844,0.00100000
4,4.363016,0.245450,4.437967,0.261000,0.453720,0.236194,0.00098549
5,4.299349,0.256935,4.405108,0.265800,0.458680,0.242151,0.00094279
6,4.229525,0.269245,4.396525,0.271200,0.467200,0.251218,0.00087438
7,4.154540,0.282430,4.359729,0.281480,0.474720,0.261621,0.00078425
8,4.074451,0.296110,4.346886,0.288360,0.481480,0.268823,0.00067763
