epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr
1,2.646676,0.657500,2.608583,0.716586,0.796145,0.00003000
2,2.608940,0.661918,2.596237,0.714056,0.795984,0.00012000
3,2.660916,0.652831,2.597523,0.712811,0.793052,0.00021000
4,2.774728,0.634398,2.585750,0.713534,0.793133,0.00030000
5,2.800993,0.631516,2.561088,0.714337,0.794659,0.00029491
