class,support,f1
aber,50,0.355556
aufgaben,50,0.815534
bleibt,50,0.597938
darüber,50,0.568807
digitalisierung,50,0.728972
einmal,50,0.417582
finden,50,0.358491
gegen,50,0.494382
geworden,50,0.571429
herrn,50,0.197531
investitionen,50,0.711864
kommunen,50,0.831683
linke,50,0.516854
möglichkeit,50,0.666667
passiert,50,0.547170
