class,support,f1
meinung,50,0.697248
menschen,50,0.608000
mich,50,0.229167
milliarden,50,0.482759
millionen,50,0.612613
minister,50,0.184874
ministerpräsident,50,0.574074
minuten,50,0.410714
mitarbeiter,50,0.672897
mittel,50,0.312500
muss,50,0.252101
möchte,50,0.208333
möglich,50,0.486957
möglichkeit,50,0.480000
möglichkeiten,50,0.475248
müssen,50,0.371134
nach,50,0.051948
natürlich,50,0.333333
nehmen,50,0.125000
nein,50,0.093023
neue,50,0.386364
neuen,50,0.204545
nicht,50,0.119048
nichts,50,0.061856
noch,50,0.125000
notwendig,50,0.683761
nutzen,50,0.296296
nächste,50,0.162162
nächsten,50,0.163636
nächster,50,0.371134
nämlich,50,0.128205
oder,50,0.200000
offensichtlich,50,0.673267
ohne,50,0.309091
opposition,50,0.836735
paar,50,0.162791
passiert,50,0.363636
politik,50,0.636364
politischen,50,0.772277
polizei,50,0.747664
problem,50,0.680000
probleme,50,0.693069
präsident,50,0.357724
präsidentin,50,0.408163
punkt,50,0.185567
punkte,50,0.288889
qualität,50,0.477064
rahmen,50,0.504673
raum,50,0.551724
recht,50,0.122449
rede,50,0.056604
reden,50,0.122449
redezeit,50,0.208000
redner,50,0.273504
regelung,50,0.421053
regierung,50,0.373984
richtig,50,0.135593
richtige,50,0.280992
richtung,50,0.339286
rock,50,0.269663
rund,50,0.257426
sache,50,0.229508
sage,50,0.150538
sagen,50,0.104167
sagt,50,0.091954
satz,50,0.106383
schaffen,50,0.560000
schauen,50,0.337349
schluss,50,0.256410
schnell,50,0.279570
schon,50,0.125000
schritt,50,0.454545
schule,50,0.403361
schulen,50,0.474227
schön,50,0.301075
schüler,50,0.555556
schülerinnen,50,0.808081
sehen,50,0.132075
sehr,50,0.094118
sein,50,0.073171
seine,50,0.158416
seiner,50,0.217822
seit,50,0.190476
seite,50,0.213115
selbst,50,0.363636
selbstverständlich,50,0.615385
setzen,50,0.245902
sich,50,0.000000
sicher,50,0.102041
sicherheit,50,0.568966
sicherlich,50,0.236559
sicht,50,0.362069
sieht,50,0.048193
sind,50,0.000000
sinne,50,0.457143
situation,50,0.673077
sogar,50,0.300885
solche,50,0.289157
solchen,50,0.307692
soll,50,0.103896
sollen,50,0.146341
sollte,50,0.225352
sollten,50,0.378947
sondern,50,0.262626
sonst,50,0.270270
sorgen,50,0.373626
sowie,50,0.247423
sozialen,50,0.542636
spdfraktion,50,0.387097
sprechen,50,0.423077
spricht,50,0.543689
staatsminister,50,0.569106
stadt,50,0.545455
statt,50,0.294737
stehen,50,0.294737
steht,50,0.113636
stelle,50,0.407407
stellen,50,0.192771
stellt,50,0.129870
stimmen,50,0.504348
stunde,50,0.404255
tagesordnungspunkt,50,0.349206
tatsächlich,50,0.418182
teil,50,0.176991
thema,50,0.424779
themen,50,0.162162
tragen,50,0.218182
trotzdem,50,0.509434
umsetzung,50,0.792453
union,50,0.452830
unser,50,0.208696
unsere,50,0.096154
unserem,50,0.568807
unseren,50,0.164706
unserer,50,0.224719
unseres,50,0.288660
unter,50,0.069767
unternehmen,50,0.648148
unterstützen,50,0.585859
unterstützung,50,0.701031
verantwortung,50,0.737864
verehrten,50,0.534483
verfahren,50,0.592593
verfassung,50,0.672727
verfügung,50,0.741573
vergangenen,50,0.543689
viel,50,0.173913
viele,50,0.297030
vielen,50,0.255319
vielleicht,50,0.280000
vielmehr,50,0.207547
vier,50,0.136364
vorschlag,50,0.616822
völlig,50,0.422018
waren,50,0.150000
warum,50,0.591304
weil,50,0.196078
weise,50,0.307692
weit,50,0.340426
weiter,50,0.197802
weitere,50,0.195652
weiteren,50,0.403509
weiterhin,50,0.404040
weiß,50,0.318182
welche,50,0.316832
welt,50,0.260870
wenig,50,0.294118
weniger,50,0.403509
wenn,50,0.169014
werde,50,0.058824
werden,50,0.208333
wichtig,50,0.283019
wichtige,50,0.500000
wieder,50,0.235294
will,50,0.145833
wird,50,0.027397
wirklich,50,0.252632
wirtschaft,50,0.622642
wissen,50,0.301075
wochen,50,0.547009
wohl,50,0.382022
wohnungen,50,0.692308
wollen,50,0.325581
worden,50,0.361702
wort,50,0.173913
wurde,50,0.148936
wurden,50,0.144578
während,50,0.234043
wäre,50,0.065934
würde,50,0.155556
würden,50,0.093023
zahl,50,0.179775
zahlen,50,0.153846
zehn,50,0.224490
zeigen,50,0.204082
zeigt,50,0.160000
zeit,50,0.077922
ziel,50,0.125000
zukunft,50,0.633333
zumindest,50,0.406780
zunächst,50,0.327273
zusammen,50,0.500000
zusammenhang,50,0.608696
zwar,50,0.252874
zwei,50,0.424242
zweite,50,0.298246
zweiten,50,0.416667
zwischen,50,0.343434
änderung,50,0.275229
änderungsantrag,50,0.523364
öffentlichen,50,0.522523
über,50,0.309278
überhaupt,50,0.727273
übrigens,50,0.526316
