class,support,f1
meinung,50,0.647059
menschen,50,0.704762
mich,50,0.181818
milliarden,50,0.386555
millionen,50,0.448718
minister,50,0.053097
ministerpräsident,50,0.233438
minuten,50,0.281690
mitarbeiter,50,0.700000
mittel,50,0.309524
muss,50,0.226087
möchte,50,0.259259
möglich,50,0.339869
möglichkeit,50,0.305882
möglichkeiten,50,0.495726
müssen,50,0.295455
nach,50,0.037037
natürlich,50,0.289855
nehmen,50,0.089552
nein,50,0.078125
neue,50,0.141414
neuen,50,0.109589
nicht,50,0.000000
nichts,50,0.000000
noch,50,0.061538
notwendig,50,0.569231
nutzen,50,0.160000
nächste,50,0.039216
nächsten,50,0.170213
nächster,50,0.314286
nämlich,50,0.204082
oder,50,0.164948
offensichtlich,50,0.613861
ohne,50,0.262626
opposition,50,0.738739
paar,50,0.191781
passiert,50,0.250000
politik,50,0.512397
politischen,50,0.783505
polizei,50,0.573529
problem,50,0.411765
probleme,50,0.621212
präsident,50,0.247312
präsidentin,50,0.347826
punkt,50,0.119403
punkte,50,0.281481
qualität,50,0.446281
rahmen,50,0.538462
raum,50,0.436975
recht,50,0.105263
rede,50,0.102041
reden,50,0.156863
redezeit,50,0.155556
redner,50,0.354167
regelung,50,0.315789
regierung,50,0.333333
richtig,50,0.111888
richtige,50,0.240602
richtung,50,0.219780
rock,50,0.266667
rund,50,0.266667
sache,50,0.142857
sage,50,0.186916
sagen,50,0.059701
sagt,50,0.060000
satz,50,0.091743
schaffen,50,0.467532
schauen,50,0.338462
schluss,50,0.222222
schnell,50,0.246914
schon,50,0.200000
schritt,50,0.415385
schule,50,0.243243
schulen,50,0.379310
schön,50,0.256410
schüler,50,0.516129
schülerinnen,50,0.803922
sehen,50,0.074074
sehr,50,0.064516
sein,50,0.000000
seine,50,0.146341
seiner,50,0.093333
seit,50,0.112360
seite,50,0.134615
selbst,50,0.279570
selbstverständlich,50,0.618557
setzen,50,0.187500
sich,50,0.000000
sicher,50,0.106667
sicherheit,50,0.474227
