class,support,f1
aber,50,0.505263
aufgaben,50,0.882353
bleibt,50,0.693878
darüber,50,0.476190
digitalisierung,50,0.780952
einmal,50,0.342857
finden,50,0.505051
gegen,50,0.442105
geworden,50,0.673469
herrn,50,0.241758
investitionen,50,0.792793
kommunen,50,0.854369
linke,50,0.543478
möglichkeit,50,0.740000
passiert,50,0.534653
