class,support,f1
aber,50,0.478261
aufgaben,50,0.823529
bleibt,50,0.638298
darüber,50,0.523364
digitalisierung,50,0.766355
einmal,50,0.368932
finden,50,0.477064
gegen,50,0.423077
geworden,50,0.659794
herrn,50,0.144928
investitionen,50,0.796460
kommunen,50,0.840000
linke,50,0.495238
möglichkeit,50,0.761905
passiert,50,0.537634
