class,support,f1
aber,50,0.104348
aufgaben,50,0.177215
bleibt,50,0.137931
darüber,50,0.087912
digitalisierung,50,0.250000
einmal,50,0.080000
finden,50,0.074074
gegen,50,0.153846
geworden,50,0.166667
herrn,50,0.252252
investitionen,50,0.215054
kommunen,50,0.240741
linke,50,0.319149
möglichkeit,50,0.133333
passiert,50,0.125000
