epoch,train_acc,val_top1,val_top5,lr
1,0.4440,0.6854,0.7810,0.000298
2,0.6183,0.7080,0.7877,0.000293
3,0.6403,0.7143,0.7897,0.000284
4,0.6529,0.7167,0.7922,0.000271
5,0.6614,0.7223,0.7947,0.000256
6,0.6672,0.7212,0.7952,0.000238
7,0.6745,0.7255,0.7958,0.000218
8,0.6787,0.7259,0.7967,0.000197
9,0.6816,0.7274,0.7986,0.000174
10,0.6880,0.7286,0.7994,0.000150
11,0.6917,0.7274,0.7996,0.000127
12,0.6964,0.7275,0.7987,0.000104
13,0.7002,0.7275,0.7998,0.000083
14,0.7041,0.7284,0.8003,0.000063
